111	1170.43	2941.48
112	1162.96	2701.74
113	1159.46	2455.5
114	1160.52	2212.49
115	1166.57	1969.64
116	1175.57	1729.55
117	1187	1510.89
118	1200.54	1301.48
119	1215.55	1119
121	1595.02	3055.02
122	1594.42	2769.55
123	1593.44	2477.51
124	1594.56	2179.12
125	1595.53	1890.58
126	1598.1	1605.13
127	1600.03	1357.53
128	1604.54	1133.06
129	1606.49	935.01
131	2273.35	3199.6
132	2293.04	2911.01
133	2306.53	2585.59
134	2311.46	2224.04
135	2304.52	1952.07
136	2292	1683.48
137	2275.02	1436.05
138	2247.01	1146.04
139	2216.46	899.03
130	2190.44	722.04
141	3039.08	3300.95
142	3090.8	2984.03
143	3125.79	2612.67
144	3131.04	2212.03
145	3116.78	1908.48
146	3083.59	1611.56
147	3038.61	1347.59
148	2967.57	1036.46
149	2897.99	802.1
140	2820.47	587.09
210	1883.03	3006.53
212	1890.04	2471.16
213	1890.53	2207.07
214	1889.45	1936.52
215	1884.51	1670.5
216	1879.49	1437.09
217	1876.02	1224.46
218	1868.1	1019.56
220	2817.47	3163.45
222	2874.46	2515.46
223	2876.51	2164.54
224	2857.01	1812.48
225	2822.04	1486.03
226	2776.11	1210.5
227	2721.29	956.05
228	2675.03	786.04
310	1621.05	2854.07
311	1620.03	2661.01
313	1620.6	2253.55
314	1621.33	2037.53
315	1622.48	1845.6
316	1623.03	1655.08
317	1625.02	1455.04
318	1624.56	1287.57
320	1982.03	2915.47
321	1986.97	2700.51
322	1989.97	2472.98
323	1991	2252.06
324	1989.01	2006.04
325	1985.54	1793.06
326	1979.48	1581.48
327	1970.78	1366.44
328	1961.52	1184.06
330	2471.05	2961.02
331	2485.04	2747.08
332	2492.51	2508.52
333	2494.03	2266.01
334	2491.61	2068.43
335	2481.54	1871.04
336	2472.02	1686.02
337	2455.48	1488.01
338	2430.52	1262.52
339	2405.52	1076.05
341	3011.51	2772.53
342	3027.59	2511.56
343	3029.03	2241.07
344	3022.56	2027.05
345	3008.6	1831.38
346	2987.49	1639.57
347	2953.03	1399.1
348	2910.57	1186.57
349	2867.02	999.16
400	1736.07	2830.5
401	1734.01	2575.01
402	1731.97	2326.06
403	1730.31	2075.38
404	1725.97	1834.83
405	1732	1601.01
410	1948.03	2861.59
411	1944.03	2590.56
412	1946.57	2326.01
413	1941.31	2063.09
414	1938.01	1804.01
415	1937.53	1558.03
420	2174.06	2890.53
421	2177	2605.52
422	2179.02	2326.45
423	2172.91	2047.22
424	2163.53	1775.04
425	2156.52	1518.49
430	2412.97	2917.97
431	2428.96	2625.08
432	2435.98	2327.99
433	2434.73	2031.78
435	2404.51	1479.37
440	2708.44	2943.51
441	2750.53	2636.06
442	2738.44	2326.59
443	2743.63	2017.46
445	2683.52	1442.48
460	3278.28	2978.25
461	3320.02	2652.6
462	3328.53	2325.47
463	3322.59	2000.54
465	3240.03	1398.01
