113	1107	2431
114	1109	2186
115	1115	1941
116	1126	1701
117	1139	1481
118	1154	1271
119	1172	1088
121	1545	3033
122	1542	2747
123	1542	2453
124	1544	2153
125	1545	1864
126	1550	1577
127	1555	1328
128	1561	1103
129	1567	904
310	1570	2831
311	1569	2638
313	1569	2228
314	1571	2012
315	1573	1819
317	1579	1427
318	1581	1259
210	1833	2985
212	1840	2447
213	1841	2182
214	1840	1911
215	1838	1643
216	1834	1410
218	1828	991
320	1932	2893
321	1937	2679
322	1940	2450
323	1941	2228
324	1941	1980
325	1938	1767
327	1928	1339
328	1920	1157
131	2226	3180
132	2245	2890
133	2258	2563
134	2264	2201
135	2258	1928
136	2247	1658
137	2233	1410
138	2208	1119
139	2181	872
330	2424	2940
331	2438	2725
332	2446	2486
333	2447	2244
334	2446	2045
335	2437	1848
336	2428	1662
337	2414	1464
338	2391	1238
339	2368	1051
220	2774	3143
222	2830	2495
223	2833	2143
224	2815	1790
225	2783	1463
226	2740	1187
227	2688	931
228	2645	761
341	2969	2752
342	2984	2491
343	2987	2220
344	2981	2006
345	2968	1810
346	2948	1618
347	2916	1378
348	2876	1165
349	2834	977
141	2998	3281
142	3049	2964
143	3084	2592
144	3090	2192
145	3078	1887
146	3047	1590
147	3004	1325
148	2936	1014
149	2870	779
400	1685	2808
401	1683	2551
402	1682	2302
403	1681	2051
404	1677	1809
405	1686	1574
410	1899	2839
411	1894	2568
412	1897	2302
413	1892	2039
414	1891	1778
415	1892	1533
420	2125	2868
421	2128	2583
422	2131	2303
423	2125	2023
424	2117	1751
425	2113	1494
430	2365	2897
431	2381	2603
432	2389	2306
433	2389	2009
435	2362	1455
440	2663	2923
441	2705	2615
442	2693	2305
443	2700	1995
445	2643	1420
460	3237	2958
461	3279	2633
462	3288	2306
463	3283	1981
465	3206	1379
