111	 913	    3008
112	 897	    2744
113	 888	    2471
114	 889	    2199
115	 897	    1930
116	 912	    1665
117  933	    1426
118	 956	    1201
119	 983	    1008
121	 1334	3163
122	 1322	2839
123	 1315	2502
124	 1314	2155
125	 1319	1821
126	 1330	1496
128	 1358	978
129	 1374	771
311	 1439	2696
312	 1437	2467
313	 1436	2244
314	 1437	2006
315	 1440	1793
316	 1443	1585
317	 1449	1368
318	 1454	1189
210	 1682	3106
211	 1681	2810
212	 1680	2493
213	 1679	2186
214	 1679	1872
215	 1677	1569
216	 1677	1309
217	 1679	1078
218	 1678	860
320	 1828	2989
321	 1829	2749
322	 1831	2491
323	 1831	2239
324	 1828	1960
325	 1825	1721
326	 1821	1486
327	 1815	1251
328	 1808	1056
131	 2087	2280
132	 2105	3041
133	 2117	2644
134	 2121	2196
135	 2112	1859
136	 2097	1535
137	 2080	1246
138	 2052	922
139	 2024	661
330	 2376	3055
331	 2391	2810
332	 2399	2533
333	 2399	2251
334	 2394	2020
335	 2382	1792
336	 2370	1581
338	 2322	1112
339	 2294	912
220	 2764	3330
221	 2812	2973
222	 2840	2552
223	 2840	2118
224	 2810	1687
225	 2759	1302
226	 2696	991
227	 2627	717
228	 2571	544
341	 3010	2843
342	 3029	2536
343	 3030	2216
344	 3020	1962
345	 2999	1733
346	 2969	1511
348	 2868	1007
349	 2813	808
141	 3024	3531
142	 3102	3154
143	 3156	2686
144	 3163	2168
145	 3137	1777
146	 3082	1407
147	 3011	1094
148	 2908	747
149	 2815	503
150	 2718	293
401	 1602	2595
402	 1598	2324
403	 1596	2053
404	 1592	1791
405	 1601	1540
411	 1823	2615
412	 1824	2324
413	 1818	2035
421	 2075	2633
422	 2076	2323
423	 2068	2013
425	 2051	1435
431	 2353	2656
432	 2359	2324
433	 2356	1991
434	 2340	1674
435	 2321	1383
441	 2714	2668
442	 2700	2319
443	 2703	1970
445	 2629	1334
461	 3360	2685
462	 3370	2313
463	 3359	1944
465	 3251	1274
